Species,Genome composition
Proteus phage PM 93,dsDNA
Pectobacterium phage PP1,dsDNA
Erwinia phage Era103,dsDNA
Erwinia phage vB_EamP-S2,dsDNA
Lelliottia phage phD2B,dsDNA
Escherichia phage AAPEc6,dsDNA
Escherichia phage vB_EcoP_ACG-C91,dsDNA
Escherichia phage vB_EcoP_B,dsDNA
Escherichia phage vB_EcoP_C,dsDNA
Citrobacter phage vB_CroP_CrRp3,dsDNA
Escherichia phage K1-5,dsDNA
Enterobacteria phage K1E,dsDNA
Escherichia phage vB_EcoP_K,dsDNA
Escherichia phage LL11,dsDNA
Escherichia phage mutPK1A2,dsDNA
Escherichia phage VEc3,dsDNA
Salmonella phage BP12B,dsDNA
Salmonella phage SP6,dsDNA
Salmonella phage UAB_phi78,dsDNA
Burkholderia phage Bp-AMP1,dsDNA
Ralstonia phage RS-PI-1,dsDNA
Ralstonia phage RSB1,dsDNA
Ralstonia phage RsoP1IDN,dsDNA
Burkholderia phage JG068,dsDNA
Ralstonia phage RSJ2,dsDNA
Ralstonia phage RSJ5,dsDNA
Ralstonia phage RS-PII-1,dsDNA
Shigella phage_Buco,dsDNA
Klebsiella phage AltoGao,dsDNA
Klebsiella phage phiBO1E,dsDNA
Klebsiella phage F19,dsDNA
Klebsiella phage NTUH-K2044-K1-1,dsDNA
Klebsiella phage Kp2,dsDNA
Klebsiella phage KP34,dsDNA
Klebsiella phage KP-Rio/2015,dsDNA
Klebsiella phage phiKpS2,dsDNA
Klebsiella phage KpV41,dsDNA
Klebsiella phage KpV475,dsDNA
Klebsiella phage vB_KpnP_KpV48,dsDNA
Klebsiella phage KpV71,dsDNA
Klebsiella phage vB_KpnP_KpV74,dsDNA
Klebsiella phage KPV811,dsDNA
Escherichia phage Minorna,dsDNA
Klebsiella phage myPSH1235,dsDNA
Shigella phage SFN6B,dsDNA
Klebsiella phage vB_KpnP_SU503,dsDNA
