Species,Genome.composition
Pbunavirus Pa193,dsDNA
Pbunavirus BrSP1,dsDNA
Pbunavirus Epa7,dsDNA
Pbunavirus PaGU11,dsDNA
Pbunavirus Epa14,dsDNA
Pbunavirus datas,dsDNA
Kehishuvirus primarius,dsDNA
Paundivirus hollandii,dsDNA
Salasvirus Gxv1,dsDNA
Gaunavirus SRT01hs,dsDNA
Bundooravirus PumA2,dsDNA
Bundooravirus PumA1,dsDNA
Karezivirus karezi,dsDNA
Hemphillvirus DK3,dsDNA
Hemphillvirus DK2,dsDNA
Hemphillvirus DK1,dsDNA
Claudivirus Goe4,dsDNA
Salasvirus Goe6,dsDNA
Claudivirus konjotrouble,dsDNA
Claudivirus juan,dsDNA
Salasvirus PZA,dsDNA
Claudivirus serpounce,dsDNA
Beecentumtrevirus Goe1,dsDNA
Beecentumtrevirus Nf,dsDNA
Harambevirus beachbum,dsDNA
Harambevirus harambe,dsDNA
Claudivirus QCM11,dsDNA
Copernicusvirus Ef74,dsDNA
Copernicusvirus Ef73,dsDNA
Copernicusvirus Efmus1,dsDNA
Copernicusvirus Idefix,dsDNA
Copernicusvirus Efmus3,dsDNA
Copernicusvirus Efmus4,dsDNA
Copernicusvirus Ef72,dsDNA
Copernicusvirus Ef63,dsDNA
Copernicusvirus Ef62,dsDNA
Minhovirus IME199,dsDNA
Minhovirus zip,dsDNA
Ilzatvirus teagan,dsDNA
Ilzatvirus monchoix,dsDNA
Ilzatvirus mcgalleon,dsDNA
Wongtaivirus ECP1,dsDNA
Traversvirus P27,dsDNA
Traversvirus F451,dsDNA
Traversvirus WGPS9,dsDNA
Traversvirus ST28624,dsDNA
Traversvirus AU6Stx1,dsDNA
Traversvirus AU5Stx1,dsDNA
Traversvirus SH2026Stx1,dsDNA
Oslovirus ArgO145,dsDNA
Oslovirus Lyz12581Vzw,dsDNA
Slepowronvirus LPHM00113468,dsDNA
Webervirus sin4,dsDNA
Webervirus sweeny,dsDNA
Hanrivervirus henu8,dsDNA
Hanrivervirus egaa,dsDNA
Sarumanvirus bcepsauron,dsDNA
Sarumanvirus bcepsaruman,dsDNA
Moturavirus motura,dsDNA
Webervirus KP1801,dsDNA
Webervirus shelby,dsDNA
Webervirus KpNIH2,dsDNA
Webervirus wv13,dsDNA
Webervirus JY917,dsDNA
Webervirus KLPPOU149,dsDNA
Webervirus skenny,dsDNA
Webervirus FZ10,dsDNA
Webervirus KL,dsDNA
Webervirus alina,dsDNA
Webervirus call,dsDNA
Webervirus domnhall,dsDNA
Webervirus IMGroot,dsDNA
Webervirus segescirculi,dsDNA
Tunavirus DELF2,dsDNA
Shigella virus Sfin-3,dsDNA
Hanrivervirus PGN590,dsDNA
Hanrivervirus aalborv,dsDNA
Hanrivervirus haarsle,dsDNA
Hanrivervirus damhaus,dsDNA
Hanrivervirus aaroes,dsDNA
Hanrivervirus grams,dsDNA
Hanrivervirus vojen,dsDNA
Hanrivervirus herni,dsDNA
Hanrivervirus G292,dsDNA
Hanrivervirus slyngel,dsDNA
Hanrivervirus hv2019SD1,dsDNA
Warwickvirus atuna,dsDNA
Warwickvirus tonijn,dsDNA
Warwickvirus tonnikala,dsDNA
Warwickvirus tunus,dsDNA
Warwickvirus tonn,dsDNA
Warwickvirus JK16,dsDNA
Veterinaerplatzvirus vv12210I,dsDNA
Vedamuthuvirus P1045,dsDNA
Vedamuthuvirus vv62503,dsDNA
Vedamuthuvirus vv50902,dsDNA
Vedamuthuvirus Q33,dsDNA
Teubervirus P596,dsDNA
Teubervirus AM6,dsDNA
Teubervirus LW31,dsDNA
Teubervirus Q1,dsDNA
Otagovirus Psa374,dsDNA
Sida ciliaris golden mosaic virus,ssDNA(+/-)
Kuttervirus dinky,dsDNA
Kuttervirus SeG,dsDNA
Klausavirus dryang,dsDNA
Skunavirus MV10L,dsDNA
Kuttervirus EP75,dsDNA
Skunavirus LP9207,dsDNA
Skunavirus sv56003,dsDNA
Skunavirus sv16802,dsDNA
Kuttervirus SE14,dsDNA
Lazarusvirus am101,dsDNA
Yonginvirus EaP8,dsDNA
Agtrevirus P46FS4,dsDNA
Kuttervirus maane,dsDNA
Kuttervirus pertopsoe,dsDNA
Kuttervirus moki,dsDNA
Kuttervirus barely,dsDNA
Kuttervirus aagejoakim,dsDNA
Kuttervirus bering,dsDNA
Kuttervirus allotria,dsDNA
Kuttervirus heyday,dsDNA
Kuttervirus rabagast,dsDNA
Ayohtrevirus abba,dsDNA
Kuttervirus SeJ,dsDNA
Kuttervirus SeB,dsDNA
Hadassahvirus pht2,dsDNA
Lazarusvirus lazarus,dsDNA
Lazarusvirus kimel,dsDNA
Lazarusvirus apostate,dsDNA
Lazarusvirus berthold,dsDNA
Skunavirus CHPC965,dsDNA
Skunavirus CHPC964,dsDNA
Skunavirus CHPC959,dsDNA
Skunavirus CHPC958,dsDNA
Skunavirus CHPC781,dsDNA
Skunavirus CHPC52,dsDNA
Skunavirus CHPC362,dsDNA
Skunavirus CHPC361,dsDNA
Skunavirus CHPC129,dsDNA
Lazarusvirus kronadin,dsDNA
Mufasoctovirus mufasa8,dsDNA
Yongunavirus yong1,dsDNA
Skunavirus P4565,dsDNA
Skunavirus P656,dsDNA
Skunavirus P1532,dsDNA
Kuleanavirus kuleana,dsDNA
Klebsiella virus UPM 2146,dsDNA
Klausavirus lymara,dsDNA
Triplejayvirus tripleJ,dsDNA
Huelvavirus ort11,dsDNA
Marthavirus zartrosa,dsDNA
Pylasvirus KpCHEMY26,dsDNA
Sabourvirus sv4HA13,dsDNA
Vibakivirus vibaki,dsDNA
Muldoonvirus muldoon,dsDNA
Pokkenvirus pokken,dsDNA
Taipeivirus magnus,dsDNA
Peduovirus R18C,dsDNA
Irrigatiovirus SI7,dsDNA
Eganvirus SW9,dsDNA
Kuttervirus SS9,dsDNA
Peduovirus pv12474III,dsDNA
Zurivirus zuri,dsDNA
Agtrevirus MK13,dsDNA
Gegavirus ST15OXA48phi141,dsDNA
Dagavirus ST13OXA48phi121,dsDNA
Kapieceevirus ST512KPC3phi132,dsDNA
Vimunumvirus ST147VIM1phi71,dsDNA
Reipivirus ST16OXA48phi54,dsDNA
Felsduovirus ST437OXA245phi42,dsDNA
Gegevirus ST437OXA245phi41,dsDNA
Skunavirus sv8V08,dsDNA
Hadassahvirus azbtza1,dsDNA
Pylasvirus pylas,dsDNA
Kuttervirus SeSz1,dsDNA
Klausavirus kburrousTX,dsDNA
Lazarusvirus karl,dsDNA
Kuttervirus SenALZ1,dsDNA
Kuttervirus SenASZ3,dsDNA
Lazarusvirus fhyacithree,dsDNA
Kuttervirus S118,dsDNA
Pomeroyivirus V13,dsDNA
Aorunvirus V12,dsDNA
Skunavirus MP1,dsDNA
Aresaunavirus RsoM1USA,dsDNA
Dorisvirus 49B3,dsDNA
Nahantvirus 49C7,dsDNA
Novemvirus T5282H,dsDNA
Kuttervirus mutine,dsDNA
Kuttervirus FEC14,dsDNA
Skunavirus bIBBF12,dsDNA
Skunavirus bIBB5g1,dsDNA
Skunavirus LP1502a,dsDNA
Skunavirus LP0903,dsDNA
Skunavirus LP0209,dsDNA
Skunavirus LP9908,dsDNA
Skunavirus LP9903,dsDNA
Skunavirus LP9609,dsDNA
Skunavirus LP9404,dsDNA
Skunavirus LP8511,dsDNA
Skunavirus sv96603,dsDNA
Skunavirus sv96403,dsDNA
Skunavirus sv96401,dsDNA
Skunavirus sv88605,dsDNA
Skunavirus sv79201,dsDNA
Skunavirus sv66901,dsDNA
Skunavirus sv63302,dsDNA
Skunavirus sv62605,dsDNA
Skunavirus sv62601,dsDNA
Skunavirus sv57001,dsDNA
Skunavirus sv56301,dsDNA
Skunavirus sv51701,dsDNA
Skunavirus sv38507,dsDNA
Skunavirus sv38503,dsDNA
Skunavirus sv37201,dsDNA
Skunavirus sv30804,dsDNA
Skunavirus sv05601,dsDNA
Kuttervirus SP1,dsDNA
Agtrevirus EM4,dsDNA
Kungbxnavirus pT24,dsDNA
Kuttervirus BSP101,dsDNA
Skunavirus R31,dsDNA
Vibrio phage JSF3,dsDNA
Galateavirus PVA5,dsDNA
Kuttervirus STW77,dsDNA
Skunavirus sv13W11L,dsDNA
Skunavirus sv3R16S,dsDNA
Skunavirus i0139,dsDNA
Skunavirus sv10W18,dsDNA
Skunavirus sv16W23,dsDNA
Aoqinvirus RD1410W101,dsDNA
Sanyabayvirus DS1410Ws06,dsDNA
Skunavirus S0139,dsDNA
Skunavirus Lj,dsDNA
Skunavirus M1127,dsDNA
Skunavirus E1127,dsDNA
Skunavirus sv155,dsDNA
Skunavirus JF1,dsDNA
Skunavirus sv91127,dsDNA
Skunavirus sv44,dsDNA
Skunavirus sv42,dsDNA
Skunavirus L6,dsDNA
Skunavirus sv109,dsDNA
Skunavirus L18,dsDNA
Skunavirus F0139,dsDNA
Skunavirus sv512,dsDNA
Skunavirus sv193,dsDNA
Skunavirus B1127,dsDNA
Skunavirus A16,dsDNA
Skunavirus sv145,dsDNA
Skunavirus sv15,dsDNA
Skunavirus caseusJM1,dsDNA
Pacinivirus VCO139,dsDNA
Skunavirus P475,dsDNA
Skunavirus p272,dsDNA
Skunavirus fd13,dsDNA
Skunavirus sv936,dsDNA
Roseovarius Plymouth podovirus 1,dsDNA
Xuanwuvirus xv520873,dsDNA
Gemsvirus gv5004652,dsDNA
Wadgaonvirus wv5004651,dsDNA
Xuanwuvirus xv503458,dsDNA
Shirahamavirus PTm1,dsDNA
Saintgironsvirus LE1,dsDNA
Sukhumvitvirus T25,dsDNA
Biseptimavirus phi7247PVL,dsDNA
Capvunavirus CpV1,dsDNA
Beceayunavirus BceA1,dsDNA
Tequintavirus SP15,dsDNA
Pbunavirus PA01,dsDNA
Melvirus helgolandense,dsDNA
Mydovirus BIS47,dsDNA
Borockvirus brock,dsDNA
Amoyvirus R7M,dsDNA
Akonivirus phedro,dsDNA
Secretariatvirus secretariat,dsDNA
Loessnervirus SSEM1,dsDNA
Kenoshavirus kenosha,dsDNA
Enterogokushovirus EC6098,ssDNA(+)
Mydovirus KpS8,dsDNA
Epseptimavirus atrejo,dsDNA
Epseptimavirus oselot,dsDNA
Epseptimavirus bastian,dsDNA
Epseptimavirus fuchur,dsDNA
Epseptimavirus rokbiter,dsDNA
Epseptimavirus faergetype,dsDNA
Epseptimavirus bombadil,dsDNA
Tequintavirus oldekolle,dsDNA
Rosemountvirus birk,dsDNA
Rosemountvirus yarpen,dsDNA
Astrithrvirus astrithr,dsDNA
Privateervirus privateer,dsDNA
Burrovirus arete,dsDNA
Badaztecvirus badaargau2,dsDNA
Badaztecvirus badaztec1,dsDNA
Tequintavirus NBSal005,dsDNA
Tequintavirus NBSal003,dsDNA
Tequintavirus NBEco002,dsDNA
Manuelvirus JXY1,dsDNA
Tequintavirus NBEco001,dsDNA
Tequintavirus L6jm,dsDNA
Montyvirus john316,dsDNA
Mycobacterium virus Cornie,dsDNA
Kanagawavirus cipnine,dsDNA
Arawnvirus arawn,dsDNA
Myoalterovirus PT11V22,dsDNA
Caudoviricetes sp.,dsDNA
Carltongylesvirus flopper,dsDNA
Muminvirus tooticki,dsDNA
Tantvirus tant,dsDNA
Lillamyvirus stinky,dsDNA
Muminvirus snusmum,dsDNA
Lillamyvirus snork,dsDNA
Lillamyvirus sniff,dsDNA
Muminvirus mymlan,dsDNA
Muminvirus mumin,dsDNA
Lillamyvirus morran,dsDNA
Lillamyvirus lillamy,dsDNA
Labanvirus laban,dsDNA
Lillamyvirus hemulen,dsDNA
Hattifnattvirus hattifnatt,dsDNA
Muminvirus filifjonk,dsDNA
Pippivirus pippi,dsDNA
Pippivirus lotta,dsDNA
Henunavirus hena1,dsDNA
Kujavirus kuja,dsDNA
Lambovirus yikes,dsDNA
Kenoshavirus crocheter,dsDNA
Indlulamithivirus indlulamithi,dsDNA
Kenoshavirus untouchable,dsDNA
Tanisvirus avazak,dsDNA
Aphroditevirus PDCC1,dsDNA
Montyvirus jellybones,dsDNA
Epseptimavirus ev119,dsDNA
Tequintavirus VEc33,dsDNA
Tanisvirus tanis,dsDNA
Kenoshavirus ohmyward,dsDNA
Lambovirus sadboi,dsDNA
Lambovirus lambo,dsDNA
Lambovirus ranch,dsDNA
Lambovirus gibbin,dsDNA
Epseptimavirus ev129,dsDNA
Kenoshavirus chikenjars,dsDNA
Epseptimavirus ev23,dsDNA
Epseptimavirus OSYSTA,dsDNA
Henunavirus SNUABM01,dsDNA
Pbunavirus PA8P1,dsDNA
Yonseivirus soft,dsDNA
Menderavirus mendera,dsDNA
Myducvirus myduc,dsDNA
Menderavirus moby,dsDNA
Burrovirus araxxi,dsDNA
Myosmarvirus myosmar,dsDNA
Carltongylesvirus mangalitsa,dsDNA
Marfavirus marfa,dsDNA
Goettingenvirus goe8,dsDNA
Kylevirus kyle,dsDNA
Tequintavirus Th1,dsDNA
Tequintavirus VSe12,dsDNA
Moabitevirus moabite,dsDNA
Samwavirus adelaide,dsDNA
Samwavirus samW,dsDNA
Samwavirus stiles,dsDNA
Mycobacterium virus ThetaBob,dsDNA
Samwavirus dina,dsDNA
Tequintavirus SE11,dsDNA
Epseptimavirus SE24,dsDNA
Whackvirus whack,dsDNA
Montyvirus beaver,dsDNA
Sleepyheadvirus sleepyhead,dsDNA
Epseptimavirus SB13,dsDNA
Samwavirus StAB,dsDNA
Aphroditevirus USC1,dsDNA
Tinytimothyvirus alex44,dsDNA
Tinytimothyvirus tinytimothy,dsDNA
Lahexavirus LAh9,dsDNA
Lahexavirus LAh8,dsDNA
Lahexavirus LAh6,dsDNA
Lahexavirus lv44572,dsDNA
Plateaulakevirus pv4L372XY,dsDNA
Plateaulakevirus pv4L372D,dsDNA
Plateaulakevirus pv2L372X,dsDNA
Plateaulakevirus pv2L372D,dsDNA
Montyvirus chelms,dsDNA
Dibbivirus PSKM,dsDNA
Dibbivirus AAM37,dsDNA
Vapseptimavirus VAP7,dsDNA
Salmonella phage SE4,dsDNA
Rosemountvirus SE13,dsDNA
Pushchinovirus B83,dsDNA
Akonivirus akoni,dsDNA
Epseptimavirus sepoy,dsDNA
Myosmarvirus MTx,dsDNA
Parlovirus parlo,dsDNA
Ravarandavirus kac68v161,dsDNA
Ravarandavirus kac65v151,dsDNA
Menderavirus IMESM1,dsDNA
Tybeckvirus SAC12B,dsDNA
Watanabevirus wv3521,dsDNA
Tybeckvirus tv521B,dsDNA
Lietduovirus LIET2,dsDNA
Kenoshavirus duffington,dsDNA
Kenoshavirus rickmore,dsDNA
Tequintavirus HdH2,dsDNA
Aphroditevirus av2TSL2019,dsDNA
Montyvirus sombrero,dsDNA
Pbunavirus S1,dsDNA
Pbunavirus EPa61,dsDNA
Barnyardvirus drlupo,dsDNA
Gilsonvirus gilson,dsDNA
Mydovirus mydo,dsDNA
Anjalivirus mendel,dsDNA
Anjalivirus anjali,dsDNA
Gregsiragusavirus CPD2,dsDNA
Behunavirus BH1,dsDNA
Miltonvirus 3M,dsDNA
Elmenteitavirus ev125,dsDNA
Fowlmouthvirus fowlmouth,dsDNA
Burrovirus burro,dsDNA
Yonseivirus seifer,dsDNA
Tequintavirus fp01,dsDNA
Streptomyces virus Yaboi,dsDNA
Mycobacterium virus Renaud18,dsDNA
Gilsonvirus comrade,dsDNA
Chivirus siskin,dsDNA
Jeonjuvirus BSP38,dsDNA
Carmenvirus Wes44,dsDNA
Streptomyces virus Karimac,dsDNA
Streptomyces virus LukeCage,dsDNA
Streptomyces virus Wollford,dsDNA
Streptomyces virus StarPlatinum,dsDNA
Annadreamyvirus blueeyedbeauty,dsDNA
Annadreamyvirus annadreamy,dsDNA
Fernvirus jacopo,dsDNA
Fernvirus eltigre,dsDNA
Fernvirus lucielle,dsDNA
Fernvirus kawika,dsDNA
Fernvirus yyerffej,dsDNA
Biseptimavirus SA345ruMSSAST8,dsDNA
Susfortunavirus susfortuna,dsDNA
Peeveelvirus SA780ruMSSAST101,dsDNA
Biseptimavirus SA1014ruMSSAST7,dsDNA
Campanilevirus YC,dsDNA
Rerduovirus takoda,dsDNA
Brucesealvirus CPS2,dsDNA
Flowerpowervirus flowerpower,dsDNA
Mycobacterium virus TChen,dsDNA
Cbunavirus nepra,dsDNA
Riverridervirus riverrider,dsDNA
Nezavisimistyvirus bue1,dsDNA
Tandoganvirus A403,dsDNA
Kaypoctavirus KP8,dsDNA
Pbunavirus LS1,dsDNA
Carmenvirus carmen17,dsDNA
Littlefixvirus littlefix,dsDNA
Cukevirus cuke,dsDNA
Montyvirus adgers,dsDNA
Marfavirus F48,dsDNA
Fernvirus likha,dsDNA
Fernvirus leyra,dsDNA
Fernvirus tadhana,dsDNA
Fernvirus pagassa,dsDNA
Fernvirus PBL1c,dsDNA
Fernvirus BN12,dsDNA
Knuthellervirus PMBT14,dsDNA
Immanueltrevirus immanuel3,dsDNA
Manuelvirus manuel,dsDNA
Manuelvirus wrighton,dsDNA
Chivirus KFSSE1,dsDNA
Mydovirus Ro1,dsDNA
Biseptimavirus st22,dsDNA
Junavirus LJ,dsDNA
Nylescharonvirus LE4,dsDNA
Nylescharonvirus LE3,dsDNA
Elpedvirus LpeD,dsDNA
Pbunavirus SL1,dsDNA
Pbunavirus BrSP1,dsDNA
Ceceduovirus assw,dsDNA
Ceceduovirus aszj,dsDNA
Siovirus germanense,dsDNA
Lentibacter virus vB_LenP_ICBM2,dsDNA
Yonseivirus N137,dsDNA
Rerduovirus hiro,dsDNA
Moabitevirus mv2050HW,dsDNA
Deurplevirus deeppurple,dsDNA
Chivirus YSD1,dsDNA
Sherbrookevirus CDHM14,dsDNA
Privateervirus pv009,dsDNA
Pbunavirus R26,dsDNA
Pbunavirus R12,dsDNA
Gregsiragusavirus CPS1,dsDNA
Tedavirus A829,dsDNA
Cbunavirus A41,dsDNA
Peeveelvirus SA7,dsDNA
Biseptimavirus IME136101,dsDNA
Chivirus BSPM4,dsDNA
Cbunavirus CB4,dsDNA
Cbunavirus CB1,dsDNA
Grisebachstrassevirus goe3,dsDNA
Kamchatkavirus AP45,dsDNA
Rosemountvirus UPFBP2,dsDNA
Chivirus ST101,dsDNA
Mydovirus KNP2,dsDNA
Pseudotevenvirus lee,dsDNA
Pseudotevenvirus leb,dsDNA
Peeveelvirus pv3AJ2017,dsDNA
Colneyvirus CDKM15,dsDNA
Colneyvirus CDKM9,dsDNA
Hubeivirus PfEFR4,dsDNA
Bembunaquatrovirus BMBtp14,dsDNA
Zicotriavirus ZC08,dsDNA
Zicotriavirus ZC03,dsDNA
Ravarandavirus rv2AV2,dsDNA
Biseptimavirus P1105,dsDNA
Biseptimavirus P630,dsDNA
Biseptimavirus P282,dsDNA
Hubeivirus MY192,dsDNA
Chivirus cv35,dsDNA
Spizizenvirus sv105,dsDNA
Poushouvirus Poushou,dsDNA
Bird's-foot trefoil nucleorhabdovirus,ssRNA(-)
Birdsfoot trefoil enamovirus 1,ssRNA(+)
Okavirus flavicapitis,ssRNA(+)
Avian coronavirus,ssRNA(+)
Avian coronavirus,ssRNA(+)
Bat coronavirus,ssRNA(+)
Murine coronavirus,ssRNA(+)
Wencheng Sm shrew coronavirus,ssRNA(+)
NL63-related bat coronavirus strain BtKYNL63-9b,ssRNA(+)
Rodent arterivirus,ssRNA(+)
Epsilonarterivirus zamalb,ssRNA(+)
Warwickvirus swan01,dsDNA
Ghunavirus 17A,dsDNA
Ghunavirus shl2,dsDNA
Nitmarvirus NSV1,dsDNA
Feofaniavirus Eho59,dsDNA
Feofaniavirus Eho49,dsDNA
Escherichia virus Schickermooser,dsDNA
Wifcevirus WFC,dsDNA
Wifcevirus WFH,dsDNA
Xuquatrovirus PTXU04,dsDNA
Fibralongavirus QT1,dsDNA
Barbavirus barba21A,dsDNA
Barbavirus barba19A,dsDNA
Barbavirus barba18A,dsDNA
Barbavirus barba8S,dsDNA
Barbavirus barba5S,dsDNA
Taipeivirus KWBSE436,dsDNA
Fairfaxidumvirus fairfaxidum,dsDNA
Lirvirus SCBP3,dsDNA
Poseidonvirus SCBP4,dsDNA
Petsuvirus pEtSU,dsDNA
Kagunavirus RP180,dsDNA
Berlinvirus A7,dsDNA
Rosemountvirus ZCSE2,dsDNA
Sortsnevirus sortsne,dsDNA
Bonnellvirus lidtsur,dsDNA
Godonkavirus godonK,dsDNA
Przondovirus pharr,dsDNA
Bucovirus buco,dsDNA
Derbicusvirus derbicus,dsDNA
Drulisvirus minorna,dsDNA
Qadamvirus SB28,dsDNA
Goslarvirus goslar,dsDNA
Oneupvirus brutongaster,dsDNA
Phikmvvirus RLP,dsDNA
Maculvirus OWB,dsDNA
Lanavirus lana,dsDNA
Metamorphoovirus fireman,dsDNA
Teseptimavirus HZP2,dsDNA
Teseptimavirus NCA,dsDNA
Webervirus GHK3,dsDNA
Kayfunavirus GW1,dsDNA
Betapleolipovirus HRPV9,dsDNA
Rosenblumvirus CSA13,dsDNA
Betapleolipovirus HRPV11,dsDNA
Betapleolipovirus HRPV10,dsDNA
Betapleolipovirus HRPV12,dsDNA
Vashvirus lilbooboo,dsDNA
Vashvirus vash,dsDNA
Austintatiousvirus austintatious,dsDNA
Sonalivirus sonali,dsDNA
Pogseptimavirus VspSw1,dsDNA
Tunavirus tv008,dsDNA
Epseptimavirus ev123,dsDNA
Kakivirus PS3,dsDNA
Carpasinavirus XcP1,dsDNA
Getalongvirus asapag,dsDNA
Epseptimavirus ev329,dsDNA
Christensenvirus IME542,dsDNA
Schubertvirus schubert,dsDNA
Webervirus KpKT21phi1,dsDNA
Friunavirus AbKT21III,dsDNA
Getalongvirus kenna,dsDNA
Majavirus maja,dsDNA
Hiyaavirus hiyaa,dsDNA
Przondovirus henu1,dsDNA
Sauletekiovirus AAS23,dsDNA
Kayfunavirus Ro45lw,dsDNA
Kayfunavirus EcpYZU01,dsDNA
Harbinvirus Lpa804,dsDNA
Aerosvirus ZPAH7,dsDNA
Warwickvirus wv95,dsDNA
Przondovirus KN31,dsDNA
Przondovirus KN41,dsDNA
Przondovirus KN11,dsDNA
Alphalipothrixvirus SBFV2,dsDNA
Deltalipothrixvirus SBFV3,dsDNA
Webervirus TSK1,dsDNA
Mukerjeevirus mv51A7,dsDNA
Mukerjeevirus mv48B1,dsDNA
Cyclitvirus cyclit,dsDNA
Mukerjeevirus mv51A6,dsDNA
Mukerjeevirus mv52B1,dsDNA
Phimunavirus zenivior,dsDNA
Phimunavirus phoria,dsDNA
Phimunavirus koot,dsDNA
Phimunavirus khlen,dsDNA
Phimunavirus Clickz,dsDNA
Arthrobacter virus Liebe,dsDNA
Przondovirus kpssk3,dsDNA
Murrayvirus lumpael,dsDNA
Skarprettervirus skarpretter,dsDNA
Wanjuvirus arno160,dsDNA
Epseptimavirus seafire,dsDNA
Citexvirus dobby,dsDNA
Berlinvirus PYPS50,dsDNA
Rosenblumvirus pabna,dsDNA
Aokuangvirus SCBWM1,dsDNA
Berlinvirus BSP161,dsDNA
Lidleunavirus ViSo2018a,dsDNA
Kotilavirus PPWS2,dsDNA
Leucotheavirus sp4,dsDNA
Goodmanvirus goodman,dsDNA
Coralvirus kepler,dsDNA
Coralvirus coral,dsDNA
Andrewvirus andrew,dsDNA
Arthobacter virus Yang,dsDNA
Bridgettevirus peas,dsDNA
Bridgettevirus judy,dsDNA
Bridgettevirus eileen,dsDNA
Manhattanvirus drmanhattan,dsDNA
Bridgettevirus constance,dsDNA
Bridgettevirus bridgette,dsDNA
Armstrongvirus armstrong,dsDNA
Epseptimavirus STG2,dsDNA
Kyungwonvirus CS01,dsDNA
Schiekvirus EfV12,dsDNA
Novosibvirus stubb,dsDNA
Harbinvirus bromius,dsDNA
Harbinvirus iacchus,dsDNA
Getalongvirus getalong,dsDNA
Teseptimavirus IME390,dsDNA
Friunavirus Aci08,dsDNA
Saclayvirus Aci05,dsDNA
Teseptimavirus C5,dsDNA
Teseptimavirus N30,dsDNA
Salmondvirus JA11,dsDNA
Friunavirus Aci07,dsDNA
Saclayvirus Aci022,dsDNA
Saclayvirus Aci011,dsDNA
Wifcevirus FEC19,dsDNA
Raleighvirus darolandstone,dsDNA
Kayfunavirus IMM002,dsDNA
Juiceboxvirus juicebox,dsDNA
Samwavirus samW,dsDNA
Gillianvirus oneinagillian,dsDNA
Hungariovirus C1302,dsDNA
Canoevirus canoe,dsDNA
Tlsvirus sazh,dsDNA
Vectrevirus LL11,dsDNA
Teetrevirus LL2,dsDNA
Epseptimavirus Sw2,dsDNA
Phimunavirus nobby,dsDNA
Aarhusvirus mysterion,dsDNA
Aarhusvirus luksen,dsDNA
Phimunavirus lelidair,dsDNA
Aarhusvirus katbat,dsDNA
Phimunavirus gaspode,dsDNA
Kalppathivirus P26059B,dsDNA
Alexandravirus AD1,dsDNA
Salmondvirus JA29,dsDNA
Ningirsuvirus JA10,dsDNA
Tamkungvirus ST4,dsDNA
Bertelyvirus SC,dsDNA
Bertelyvirus BL9,dsDNA
Colossusvirus PW,dsDNA
Poindextervirus BL10,dsDNA
Webervirus TAH8,dsDNA
Klebsiella virus NJS2,dsDNA
Webervirus TAH8,dsDNA
Pogseptimavirus PG07,dsDNA
Phistoryvirus phistory,dsDNA
Horusvirus horus,dsDNA
Neferthenavirus neferthena,dsDNA
Alphalipothrixvirus SFV1,dsDNA
Maculvirus KF2,dsDNA
Maculvirus KF1,dsDNA
Powvirus S08C41,dsDNA
Pagavirus S05C849,dsDNA
Podivirus S05C243,dsDNA
Pekhitvirus S04C24,dsDNA
Jalkavirus S08C159,dsDNA
Scottvirus scott,dsDNA
Ronaldovirus ronaldo,dsDNA
Ronaldovirus fryberger,dsDNA
Igirivirus STIP37,dsDNA
Kayfunavirus SFPH2,dsDNA
Webervirus NJS1,dsDNA
Kayfunavirus Vec13,dsDNA
Lentavirus PMBT5,dsDNA
Daredevilvirus daredevil,dsDNA
Quhwahvirus kaihaidragon,dsDNA
Ruthyvirus ruthy,dsDNA
Apricotvirus apricot,dsDNA
Edenvirus eden,dsDNA
Wellingtonvirus wellington,dsDNA
Thaumasvirus stim4,dsDNA
Przondovirus IME321,dsDNA
Epseptimavirus S124,dsDNA
Epseptimavirus S147,dsDNA
Epseptimavirus S133,dsDNA
Epseptimavirus S132,dsDNA
Tequintavirus S131,dsDNA
Epseptimavirus S126,dsDNA
Epseptimavirus S116,dsDNA
Epseptimavirus S114,dsDNA
Epseptimavirus S113,dsDNA
Teseptimavirus tv3A8767,dsDNA
Shizishanvirus phCDa,dsDNA
Foetvirus SRT7,dsDNA
Tequintavirus SP3,dsDNA
Epseptimavirus LVR16A,dsDNA
Epseptimavirus SH9,dsDNA
Tunavirus Sfin1,dsDNA
Pifdecavirus PFP1,dsDNA
Tunavirus BIFF,dsDNA
Alexandravirus alexandra,dsDNA
Klebsiella virus ZCKP1,dsDNA
Quhwahvirus ouhwah,dsDNA
Zetavirus zeta1847,dsDNA
Trinevirus trine,dsDNA
Terapinvirus suzy,dsDNA
Metamorphoovirus robsfeet,dsDNA
Metamorphoovirus metamorphoo,dsDNA
Mementomorivirus mementomori,dsDNA
Krampusvirus krampus,dsDNA
Tlsvirus LL5,dsDNA
Berlinvirus S523,dsDNA
Heilongjiangvirus Lb,dsDNA
Stompelvirus RPSC1,dsDNA
Pijolavirus PspYZU08,dsDNA
Przondovirus SHKp152234,dsDNA
Tequintavirus gostya9,dsDNA
Faunusvirus faunus,dsDNA
Rogerhendrixvirus hendrix,dsDNA
Quhwahvirus paschalis,dsDNA
Squashvirus squash,dsDNA
Jacevirus jace,dsDNA
Squashvirus hyperion,dsDNA
Appavirus appa,dsDNA
Przondovirus KP32,dsDNA
Przondovirus KP32,dsDNA
Przondovirus KP32,dsDNA
Przondovirus KP32,dsDNA
Phikmvvirus 15pyo,dsDNA
Aerosvirus av25AhydR2PP,dsDNA
Pifdecavirus pv22PfluR64PP,dsDNA
