Realm,Subrealm,Kingdom,Subkingdom,Phylum,Subphylum,Class,Subclass,Order,Suborder,Family,Subfamily,Genus,Subgenus,Species
Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Betaherpesvirinae,Proboscivirus,,Proboscivirus elephantidbeta3
Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Betaherpesvirinae,Proboscivirus,,Proboscivirus elephantidbeta4
Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Betaherpesvirinae,Proboscivirus,,Proboscivirus elephantidbeta5
Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Betaherpesvirinae,Quwivirus,,Quwivirus caviidbeta2
Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Betaherpesvirinae,Quwivirus,,Quwivirus miniopteridbeta1
Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Betaherpesvirinae,Quwivirus,,Quwivirus tupaiidbeta1
Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Betaherpesvirinae,Roseolovirus,,Roseolovirus humanbeta6a
Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Betaherpesvirinae,Roseolovirus,,Roseolovirus humanbeta6b
Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Betaherpesvirinae,Roseolovirus,,Roseolovirus humanbeta7
Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Betaherpesvirinae,Roseolovirus,,Roseolovirus macacinebeta9
Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Betaherpesvirinae,Roseolovirus,,Roseolovirus muridbeta3
Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Betaherpesvirinae,Roseolovirus,,Roseolovirus suidbeta2
