Species,Family,Genome.composition
Eumops bonariensis associated cyclovirus 1,Circoviridae,ssDNA(+/-)
Tadarida brasiliensis associated cyclovirus 1,Circoviridae,ssDNA(+/-)
Bat associated cyclovirus 17,Circoviridae,ssDNA(+/-)
Chinaberry tree badnavirus 1,Caulimoviridae,dsDNA-RT
Aksy-Durug Melophagus sigmavirus,Rhabdoviridae,ssRNA(-)
Erthesina fullo arlivirus 1,Lispiviridae,ssRNA(-)
Banmivirus MoaBV,Betaflexiviridae,ssRNA(+)
Botrytis cinerea botoulivirus 19,Botourmiaviridae,ssRNA(+)
Botrytis cinerea botoulivirus 18,Botourmiaviridae,ssRNA(+)
Varidnaviria sp.,,dsDNA
Xiangshan rhabdo-like virus 1,Rhabdoviridae,ssRNA(-)
Xiangshan Nyami-like virus,Nyamiviridae,ssRNA(-)
Parvovirinae sp.,Parvoviridae,ssDNA(+/-)
Erannis ankeraria nucleopolyhedrovirus,Baculoviridae,dsDNA
Porcine ephemerovirus 2,Rhabdoviridae,ssRNA(-)
Porcine ephemerovirus 1,Rhabdoviridae,ssRNA(-)
Hogweed virus 4,Betaflexiviridae,ssRNA(+)
Cnidium virus 1,Rhabdoviridae,ssRNA(-)
Fusarium asiaticum negative-stranded RNA virus 1,,RNA
Apis rhabdovirus 3,Rhabdoviridae,ssRNA(-)
Newlavirus,Parvoviridae,ssDNA(+/-)
Olene mendosa nucleopolyhedrovirus,Baculoviridae,dsDNA
Orthotulasvirus tulasnellae,Tulasviridae,RNA
WigFec circovirus 2,Circoviridae,ssDNA(+/-)
WigFec circovirus 1,Circoviridae,ssDNA(+/-)
Heterobasidion ourmia-like virus 1,Botourmiaviridae,ssRNA(+)
Mongoose-associated cyclovirus,Circoviridae,ssDNA(+/-)
Mongoose-associated cyclovirus,Circoviridae,ssDNA(+/-)
Mongoose-associated circovirus,Circoviridae,ssDNA(+/-)
Psittacine parvovirus 1,Parvoviridae,ssDNA(+/-)
Amdoparvovirus carnivoran5,Parvoviridae,ssDNA(+/-)
robinz virus RP_1170,Circoviridae,ssDNA(+/-)
robinz virus RP_736,Circoviridae,ssDNA(+/-)
