Species,Family,Genome.composition
Enterogokushovirus EC6098,Microviridae,ssDNA(+)
Mydovirus KpS8,,dsDNA
Epseptimavirus atrejo,Demerecviridae,dsDNA
Epseptimavirus oselot,Demerecviridae,dsDNA
Epseptimavirus bastian,Demerecviridae,dsDNA
Epseptimavirus fuchur,Demerecviridae,dsDNA
Epseptimavirus rokbiter,Demerecviridae,dsDNA
Epseptimavirus faergetype,Demerecviridae,dsDNA
Epseptimavirus bombadil,Demerecviridae,dsDNA
Tequintavirus oldekolle,Demerecviridae,dsDNA
Rosemountvirus birk,,dsDNA
Rosemountvirus yarpen,,dsDNA
Astrithrvirus astrithr,,dsDNA
Privateervirus privateer,Grimontviridae,dsDNA
Burrovirus arete,,dsDNA
Badaztecvirus badaargau2,,dsDNA
Badaztecvirus badaztec1,,dsDNA
Tequintavirus NBSal005,Demerecviridae,dsDNA
Tequintavirus NBSal003,Demerecviridae,dsDNA
Tequintavirus NBEco002,Demerecviridae,dsDNA
Manuelvirus JXY1,,dsDNA
Tequintavirus NBEco001,Demerecviridae,dsDNA
Tequintavirus L6jm,Demerecviridae,dsDNA
Montyvirus john316,,dsDNA
Mycobacterium virus Cornie,,dsDNA
Kanagawavirus cipnine,Straboviridae,dsDNA
Arawnvirus arawn,,dsDNA
Myoalterovirus PT11V22,,dsDNA
Caudoviricetes sp.,,dsDNA
Carltongylesvirus flopper,Chaseviridae,dsDNA
Muminvirus tooticki,,dsDNA
Tantvirus tant,,dsDNA
Lillamyvirus stinky,,dsDNA
Muminvirus snusmum,,dsDNA
Lillamyvirus snork,,dsDNA
Lillamyvirus sniff,,dsDNA
Muminvirus mymlan,,dsDNA
Muminvirus mumin,,dsDNA
Lillamyvirus morran,,dsDNA
Lillamyvirus lillamy,,dsDNA
Labanvirus laban,Duneviridae,dsDNA
Lillamyvirus hemulen,,dsDNA
Hattifnattvirus hattifnatt,,dsDNA
Muminvirus filifjonk,,dsDNA
Pippivirus pippi,Winoviridae,dsDNA
Pippivirus lotta,Winoviridae,dsDNA
Henunavirus hena1,,dsDNA
Kujavirus kuja,Ackermannviridae,dsDNA
Lambovirus yikes,,dsDNA
Kenoshavirus crocheter,,dsDNA
Indlulamithivirus indlulamithi,,dsDNA
Kenoshavirus untouchable,,dsDNA
Tanisvirus avazak,,dsDNA
Aphroditevirus PDCC1,,dsDNA
Montyvirus jellybones,,dsDNA
Epseptimavirus ev119,Demerecviridae,dsDNA
Tequintavirus VEc33,Demerecviridae,dsDNA
Tanisvirus tanis,,dsDNA
Kenoshavirus ohmyward,,dsDNA
Lambovirus sadboi,,dsDNA
Lambovirus lambo,,dsDNA
Lambovirus ranch,,dsDNA
Lambovirus gibbin,,dsDNA
Epseptimavirus ev129,Demerecviridae,dsDNA
Kenoshavirus chikenjars,,dsDNA
Epseptimavirus ev23,Demerecviridae,dsDNA
Epseptimavirus OSYSTA,Demerecviridae,dsDNA
Henunavirus SNUABM01,,dsDNA
Pbunavirus PA8P1,,dsDNA
Yonseivirus soft,Casjensviridae,dsDNA
Menderavirus mendera,,dsDNA
Myducvirus myduc,Chaseviridae,dsDNA
Menderavirus moby,,dsDNA
Burrovirus araxxi,,dsDNA
Myosmarvirus myosmar,,dsDNA
Carltongylesvirus mangalitsa,Chaseviridae,dsDNA
Marfavirus marfa,,dsDNA
Goettingenvirus goe8,Herelleviridae,dsDNA
Kylevirus kyle,,dsDNA
Tequintavirus Th1,Demerecviridae,dsDNA
Tequintavirus VSe12,Demerecviridae,dsDNA
Moabitevirus moabite,,dsDNA
Samwavirus adelaide,,dsDNA
Samwavirus samW,,dsDNA
Samwavirus stiles,,dsDNA
Mycobacterium virus ThetaBob,,dsDNA
Samwavirus dina,,dsDNA
Tequintavirus SE11,Demerecviridae,dsDNA
Epseptimavirus SE24,Demerecviridae,dsDNA
Whackvirus whack,,dsDNA
Montyvirus beaver,,dsDNA
Sleepyheadvirus sleepyhead,,dsDNA
Epseptimavirus SB13,Demerecviridae,dsDNA
Samwavirus StAB,,dsDNA
Aphroditevirus USC1,,dsDNA
Tinytimothyvirus alex44,,dsDNA
Tinytimothyvirus tinytimothy,,dsDNA
Lahexavirus LAh9,,dsDNA
Lahexavirus LAh8,,dsDNA
Lahexavirus LAh6,,dsDNA
Lahexavirus lv44572,,dsDNA
Plateaulakevirus pv4L372XY,,dsDNA
Plateaulakevirus pv4L372D,,dsDNA
Plateaulakevirus pv2L372X,,dsDNA
Plateaulakevirus pv2L372D,,dsDNA
Montyvirus chelms,,dsDNA
Dibbivirus PSKM,,dsDNA
Dibbivirus AAM37,,dsDNA
Vapseptimavirus VAP7,Ackermannviridae,dsDNA
Salmonella phage SE4,,dsDNA
Rosemountvirus SE13,,dsDNA
Pushchinovirus B83,,dsDNA
Akonivirus akoni,,dsDNA
Epseptimavirus sepoy,Demerecviridae,dsDNA
Myosmarvirus MTx,,dsDNA
Parlovirus parlo,,dsDNA
Ravarandavirus kac68v161,,dsDNA
Ravarandavirus kac65v151,,dsDNA
Menderavirus IMESM1,,dsDNA
Tybeckvirus SAC12B,Herelleviridae,dsDNA
Watanabevirus wv3521,Herelleviridae,dsDNA
Tybeckvirus tv521B,Herelleviridae,dsDNA
Lietduovirus LIET2,,dsDNA
Kenoshavirus duffington,,dsDNA
Kenoshavirus rickmore,,dsDNA
Tequintavirus HdH2,Demerecviridae,dsDNA
Aphroditevirus av2TSL2019,,dsDNA
Montyvirus sombrero,,dsDNA
Pbunavirus S1,,dsDNA
Pbunavirus EPa61,,dsDNA
Barnyardvirus drlupo,,dsDNA
Gilsonvirus gilson,Stanwilliamsviridae,dsDNA
Mydovirus mydo,,dsDNA
Anjalivirus mendel,,dsDNA
Anjalivirus anjali,,dsDNA
Gregsiragusavirus CPD2,Guelinviridae,dsDNA
Behunavirus BH1,,dsDNA
Miltonvirus 3M,Ackermannviridae,dsDNA
Elmenteitavirus ev125,,dsDNA
Fowlmouthvirus fowlmouth,,dsDNA
Burrovirus burro,,dsDNA
Yonseivirus seifer,Casjensviridae,dsDNA
Tequintavirus fp01,Demerecviridae,dsDNA
Streptomyces virus Yaboi,Stanwilliamsviridae,dsDNA
Mycobacterium virus Renaud18,,dsDNA
Gilsonvirus comrade,Stanwilliamsviridae,dsDNA
Chivirus siskin,Casjensviridae,dsDNA
Jeonjuvirus BSP38,Herelleviridae,dsDNA
Carmenvirus Wes44,,dsDNA
Streptomyces virus Karimac,Stanwilliamsviridae,dsDNA
Streptomyces virus LukeCage,Stanwilliamsviridae,dsDNA
Streptomyces virus Wollford,Stanwilliamsviridae,dsDNA
Streptomyces virus StarPlatinum,Stanwilliamsviridae,dsDNA
Annadreamyvirus blueeyedbeauty,Stanwilliamsviridae,dsDNA
Annadreamyvirus annadreamy,Stanwilliamsviridae,dsDNA
Fernvirus jacopo,,dsDNA
Fernvirus eltigre,,dsDNA
Fernvirus lucielle,,dsDNA
Fernvirus kawika,,dsDNA
Fernvirus yyerffej,,dsDNA
Biseptimavirus SA345ruMSSAST8,,dsDNA
Susfortunavirus susfortuna,Guelinviridae,dsDNA
Peeveelvirus SA780ruMSSAST101,,dsDNA
Biseptimavirus SA1014ruMSSAST7,,dsDNA
Campanilevirus YC,Ackermannviridae,dsDNA
Rerduovirus takoda,,dsDNA
Brucesealvirus CPS2,Guelinviridae,dsDNA
Flowerpowervirus flowerpower,,dsDNA
Mycobacterium virus TChen,,dsDNA
Cbunavirus nepra,Schitoviridae,dsDNA
Riverridervirus riverrider,Schitoviridae,dsDNA
Nezavisimistyvirus bue1,Ackermannviridae,dsDNA
Tandoganvirus A403,,dsDNA
Kaypoctavirus KP8,Schitoviridae,dsDNA
Pbunavirus LS1,,dsDNA
Carmenvirus carmen17,,dsDNA
Littlefixvirus littlefix,Schitoviridae,dsDNA
Cukevirus cuke,,dsDNA
Montyvirus adgers,,dsDNA
Marfavirus F48,,dsDNA
Fernvirus likha,,dsDNA
Fernvirus leyra,,dsDNA
Fernvirus tadhana,,dsDNA
Fernvirus pagassa,,dsDNA
Fernvirus PBL1c,,dsDNA
Fernvirus BN12,,dsDNA
Knuthellervirus PMBT14,,dsDNA
Immanueltrevirus immanuel3,,dsDNA
Manuelvirus manuel,,dsDNA
Manuelvirus wrighton,,dsDNA
Chivirus KFSSE1,Casjensviridae,dsDNA
Mydovirus Ro1,,dsDNA
Biseptimavirus st22,,dsDNA
Junavirus LJ,,dsDNA
Nylescharonvirus LE4,,dsDNA
Nylescharonvirus LE3,,dsDNA
Elpedvirus LpeD,Herelleviridae,dsDNA
Pbunavirus SL1,,dsDNA
Pbunavirus BrSP1,,dsDNA
Ceceduovirus assw,Straboviridae,dsDNA
Ceceduovirus aszj,Straboviridae,dsDNA
Siovirus germanense,Zobellviridae,dsDNA
Lentibacter virus vB_LenP_ICBM2,Zobellviridae,dsDNA
Yonseivirus N137,Casjensviridae,dsDNA
Rerduovirus hiro,,dsDNA
Moabitevirus mv2050HW,,dsDNA
Deurplevirus deeppurple,,dsDNA
Chivirus YSD1,Casjensviridae,dsDNA
Sherbrookevirus CDHM14,,dsDNA
Privateervirus pv009,Grimontviridae,dsDNA
Pbunavirus R26,,dsDNA
Pbunavirus R12,,dsDNA
Gregsiragusavirus CPS1,Guelinviridae,dsDNA
Tedavirus A829,Ackermannviridae,dsDNA
Cbunavirus A41,Schitoviridae,dsDNA
Peeveelvirus SA7,,dsDNA
Biseptimavirus IME136101,,dsDNA
Chivirus BSPM4,Casjensviridae,dsDNA
Cbunavirus CB4,Schitoviridae,dsDNA
Cbunavirus CB1,Schitoviridae,dsDNA
Grisebachstrassevirus goe3,Herelleviridae,dsDNA
Kamchatkavirus AP45,,dsDNA
Rosemountvirus UPFBP2,,dsDNA
Chivirus ST101,Casjensviridae,dsDNA
Mydovirus KNP2,,dsDNA
Pseudotevenvirus lee,Straboviridae,dsDNA
Pseudotevenvirus leb,Straboviridae,dsDNA
Peeveelvirus pv3AJ2017,,dsDNA
Colneyvirus CDKM15,,dsDNA
Colneyvirus CDKM9,,dsDNA
Hubeivirus PfEFR4,,dsDNA
Bembunaquatrovirus BMBtp14,,dsDNA
Zicotriavirus ZC08,Schitoviridae,dsDNA
Zicotriavirus ZC03,Schitoviridae,dsDNA
Ravarandavirus rv2AV2,,dsDNA
Biseptimavirus P1105,,dsDNA
Biseptimavirus P630,,dsDNA
Biseptimavirus P282,,dsDNA
Hubeivirus MY192,,dsDNA
Chivirus cv35,Casjensviridae,dsDNA
Spizizenvirus sv105,,dsDNA
Poushouvirus Poushou,,dsDNA
Bird's-foot trefoil nucleorhabdovirus,Rhabdoviridae,ssRNA(-)
Birdsfoot trefoil enamovirus 1,Solemoviridae,ssRNA(+)
Okavirus flavicapitis,Roniviridae,ssRNA(+)
Avian coronavirus,Coronaviridae,ssRNA(+)
Avian coronavirus,Coronaviridae,ssRNA(+)
Bat coronavirus,Coronaviridae,ssRNA(+)
Murine coronavirus,Coronaviridae,ssRNA(+)
Wencheng Sm shrew coronavirus,Coronaviridae,ssRNA(+)
NL63-related bat coronavirus strain BtKYNL63-9b,Coronaviridae,ssRNA(+)
Rodent arterivirus,Arteriviridae,ssRNA(+)
Epsilonarterivirus zamalb,Arteriviridae,ssRNA(+)
Warwickvirus swan01,Drexlerviridae,dsDNA
Ghunavirus 17A,Autographiviridae,dsDNA
Ghunavirus shl2,Autographiviridae,dsDNA
Nitmarvirus NSV1,Thaspiviridae,dsDNA
Feofaniavirus Eho59,,dsDNA
Feofaniavirus Eho49,,dsDNA
Escherichia virus Schickermooser,,dsDNA
Wifcevirus WFC,,dsDNA
Wifcevirus WFH,,dsDNA
Xuquatrovirus PTXU04,,dsDNA
Fibralongavirus QT1,,dsDNA
Barbavirus barba21A,,dsDNA
Barbavirus barba19A,,dsDNA
Barbavirus barba18A,,dsDNA
Barbavirus barba8S,,dsDNA
Barbavirus barba5S,,dsDNA
Taipeivirus KWBSE436,Ackermannviridae,dsDNA
Fairfaxidumvirus fairfaxidum,,dsDNA
Lirvirus SCBP3,Autographiviridae,dsDNA
Poseidonvirus SCBP4,Autographiviridae,dsDNA
Petsuvirus pEtSU,,dsDNA
Kagunavirus RP180,,dsDNA
Berlinvirus A7,Autographiviridae,dsDNA
Rosemountvirus ZCSE2,,dsDNA
Sortsnevirus sortsne,,dsDNA
Bonnellvirus lidtsur,Autographiviridae,dsDNA
Godonkavirus godonK,,dsDNA
Przondovirus pharr,Autographiviridae,dsDNA
Bucovirus buco,Autographiviridae,dsDNA
Derbicusvirus derbicus,,dsDNA
Drulisvirus minorna,Autographiviridae,dsDNA
Qadamvirus SB28,Autographiviridae,dsDNA
Goslarvirus goslar,,dsDNA
Oneupvirus brutongaster,,dsDNA
Phikmvvirus RLP,Autographiviridae,dsDNA
Maculvirus OWB,Autographiviridae,dsDNA
Lanavirus lana,,dsDNA
Metamorphoovirus fireman,,dsDNA
Teseptimavirus HZP2,Autographiviridae,dsDNA
Teseptimavirus NCA,Autographiviridae,dsDNA
Webervirus GHK3,Drexlerviridae,dsDNA
Kayfunavirus GW1,Autographiviridae,dsDNA
Betapleolipovirus HRPV9,Pleolipoviridae,dsDNA
Rosenblumvirus CSA13,Rountreeviridae,dsDNA
Betapleolipovirus HRPV11,Pleolipoviridae,dsDNA
Betapleolipovirus HRPV10,Pleolipoviridae,dsDNA
Betapleolipovirus HRPV12,Pleolipoviridae,dsDNA
Vashvirus lilbooboo,,dsDNA
Vashvirus vash,,dsDNA
Austintatiousvirus austintatious,,dsDNA
Sonalivirus sonali,,dsDNA
Pogseptimavirus VspSw1,Demerecviridae,dsDNA
Tunavirus tv008,Drexlerviridae,dsDNA
Epseptimavirus ev123,Demerecviridae,dsDNA
Kakivirus PS3,Autographiviridae,dsDNA
Carpasinavirus XcP1,,dsDNA
Getalongvirus asapag,,dsDNA
Epseptimavirus ev329,Demerecviridae,dsDNA
Christensenvirus IME542,Drexlerviridae,dsDNA
Schubertvirus schubert,,dsDNA
Webervirus KpKT21phi1,Drexlerviridae,dsDNA
Friunavirus AbKT21III,Autographiviridae,dsDNA
Getalongvirus kenna,,dsDNA
Majavirus maja,,dsDNA
Hiyaavirus hiyaa,,dsDNA
Przondovirus henu1,Autographiviridae,dsDNA
Sauletekiovirus AAS23,Drexlerviridae,dsDNA
Kayfunavirus Ro45lw,Autographiviridae,dsDNA
Kayfunavirus EcpYZU01,Autographiviridae,dsDNA
Harbinvirus Lpa804,Herelleviridae,dsDNA
Aerosvirus ZPAH7,Autographiviridae,dsDNA
Warwickvirus wv95,Drexlerviridae,dsDNA
Przondovirus KN31,Autographiviridae,dsDNA
Przondovirus KN41,Autographiviridae,dsDNA
Przondovirus KN11,Autographiviridae,dsDNA
Alphalipothrixvirus SBFV2,Lipothrixviridae,dsDNA
Deltalipothrixvirus SBFV3,Lipothrixviridae,dsDNA
Webervirus TSK1,Drexlerviridae,dsDNA
Mukerjeevirus mv51A7,Schitoviridae,dsDNA
Mukerjeevirus mv48B1,Schitoviridae,dsDNA
Cyclitvirus cyclit,Autographiviridae,dsDNA
Mukerjeevirus mv51A6,Schitoviridae,dsDNA
Mukerjeevirus mv52B1,Schitoviridae,dsDNA
Phimunavirus zenivior,Autographiviridae,dsDNA
Phimunavirus phoria,Autographiviridae,dsDNA
Phimunavirus koot,Autographiviridae,dsDNA
Phimunavirus khlen,Autographiviridae,dsDNA
Phimunavirus Clickz,Autographiviridae,dsDNA
Arthrobacter virus Liebe,,dsDNA
Przondovirus kpssk3,Autographiviridae,dsDNA
Murrayvirus lumpael,,dsDNA
Skarprettervirus skarpretter,,dsDNA
Wanjuvirus arno160,Autographiviridae,dsDNA
Epseptimavirus seafire,Demerecviridae,dsDNA
Citexvirus dobby,Peduoviridae,dsDNA
Berlinvirus PYPS50,Autographiviridae,dsDNA
Rosenblumvirus pabna,Rountreeviridae,dsDNA
Aokuangvirus SCBWM1,,dsDNA
Berlinvirus BSP161,Autographiviridae,dsDNA
Lidleunavirus ViSo2018a,,dsDNA
Kotilavirus PPWS2,Autographiviridae,dsDNA
Leucotheavirus sp4,Kyanoviridae,dsDNA
Goodmanvirus goodman,,dsDNA
Coralvirus kepler,,dsDNA
Coralvirus coral,,dsDNA
Andrewvirus andrew,,dsDNA
Arthobacter virus Yang,,dsDNA
Bridgettevirus peas,,dsDNA
Bridgettevirus judy,,dsDNA
Bridgettevirus eileen,,dsDNA
Manhattanvirus drmanhattan,,dsDNA
Bridgettevirus constance,,dsDNA
Bridgettevirus bridgette,,dsDNA
Armstrongvirus armstrong,,dsDNA
Epseptimavirus STG2,Demerecviridae,dsDNA
Kyungwonvirus CS01,Drexlerviridae,dsDNA
Schiekvirus EfV12,Herelleviridae,dsDNA
Novosibvirus stubb,Demerecviridae,dsDNA
Harbinvirus bromius,Herelleviridae,dsDNA
Harbinvirus iacchus,Herelleviridae,dsDNA
Getalongvirus getalong,,dsDNA
Teseptimavirus IME390,Autographiviridae,dsDNA
Friunavirus Aci08,Autographiviridae,dsDNA
Saclayvirus Aci05,,dsDNA
Teseptimavirus C5,Autographiviridae,dsDNA
Teseptimavirus N30,Autographiviridae,dsDNA
Salmondvirus JA11,,dsDNA
Friunavirus Aci07,Autographiviridae,dsDNA
Saclayvirus Aci022,,dsDNA
Saclayvirus Aci011,,dsDNA
Wifcevirus FEC19,,dsDNA
Raleighvirus darolandstone,,dsDNA
Kayfunavirus IMM002,Autographiviridae,dsDNA
Juiceboxvirus juicebox,,dsDNA
Samwavirus samW,,dsDNA
Gillianvirus oneinagillian,,dsDNA
Hungariovirus C1302,,dsDNA
Canoevirus canoe,Peduoviridae,dsDNA
Tlsvirus sazh,Drexlerviridae,dsDNA
Vectrevirus LL11,Autographiviridae,dsDNA
Teetrevirus LL2,Autographiviridae,dsDNA
Epseptimavirus Sw2,Demerecviridae,dsDNA
Phimunavirus nobby,Autographiviridae,dsDNA
Aarhusvirus mysterion,Autographiviridae,dsDNA
Aarhusvirus luksen,Autographiviridae,dsDNA
Phimunavirus lelidair,Autographiviridae,dsDNA
Aarhusvirus katbat,Autographiviridae,dsDNA
Phimunavirus gaspode,Autographiviridae,dsDNA
Kalppathivirus P26059B,Autographiviridae,dsDNA
Alexandravirus AD1,,dsDNA
Salmondvirus JA29,,dsDNA
Ningirsuvirus JA10,Autographiviridae,dsDNA
Tamkungvirus ST4,Kyanoviridae,dsDNA
Bertelyvirus SC,,dsDNA
Bertelyvirus BL9,,dsDNA
Colossusvirus PW,,dsDNA
Poindextervirus BL10,,dsDNA
Webervirus TAH8,Drexlerviridae,dsDNA
Klebsiella virus NJS2,Drexlerviridae,dsDNA
Webervirus TAH8,Drexlerviridae,dsDNA
Pogseptimavirus PG07,Demerecviridae,dsDNA
Phistoryvirus phistory,,dsDNA
Horusvirus horus,,dsDNA
Neferthenavirus neferthena,,dsDNA
Alphalipothrixvirus SFV1,Lipothrixviridae,dsDNA
Maculvirus KF2,Autographiviridae,dsDNA
Maculvirus KF1,Autographiviridae,dsDNA
Powvirus S08C41,Autographiviridae,dsDNA
Pagavirus S05C849,Autographiviridae,dsDNA
Podivirus S05C243,Autographiviridae,dsDNA
Pekhitvirus S04C24,Autographiviridae,dsDNA
Jalkavirus S08C159,Autographiviridae,dsDNA
Scottvirus scott,Autographiviridae,dsDNA
Ronaldovirus ronaldo,,dsDNA
Ronaldovirus fryberger,,dsDNA
Igirivirus STIP37,Autographiviridae,dsDNA
Kayfunavirus SFPH2,Autographiviridae,dsDNA
Webervirus NJS1,Drexlerviridae,dsDNA
Kayfunavirus Vec13,Autographiviridae,dsDNA
Lentavirus PMBT5,,dsDNA
Daredevilvirus daredevil,,dsDNA
Quhwahvirus kaihaidragon,,dsDNA
Ruthyvirus ruthy,,dsDNA
Apricotvirus apricot,,dsDNA
Edenvirus eden,,dsDNA
Wellingtonvirus wellington,,dsDNA
Thaumasvirus stim4,Kyanoviridae,dsDNA
Przondovirus IME321,Autographiviridae,dsDNA
Epseptimavirus S124,Demerecviridae,dsDNA
Epseptimavirus S147,Demerecviridae,dsDNA
Epseptimavirus S133,Demerecviridae,dsDNA
Epseptimavirus S132,Demerecviridae,dsDNA
Tequintavirus S131,Demerecviridae,dsDNA
Epseptimavirus S126,Demerecviridae,dsDNA
Epseptimavirus S116,Demerecviridae,dsDNA
Epseptimavirus S114,Demerecviridae,dsDNA
Epseptimavirus S113,Demerecviridae,dsDNA
Teseptimavirus tv3A8767,Autographiviridae,dsDNA
Shizishanvirus phCDa,Schitoviridae,dsDNA
Foetvirus SRT7,Autographiviridae,dsDNA
Tequintavirus SP3,Demerecviridae,dsDNA
Epseptimavirus LVR16A,Demerecviridae,dsDNA
Epseptimavirus SH9,Demerecviridae,dsDNA
Tunavirus Sfin1,Drexlerviridae,dsDNA
Pifdecavirus PFP1,Autographiviridae,dsDNA
Tunavirus BIFF,Drexlerviridae,dsDNA
Alexandravirus alexandra,,dsDNA
Klebsiella virus ZCKP1,,dsDNA
Quhwahvirus ouhwah,,dsDNA
Zetavirus zeta1847,,dsDNA
Trinevirus trine,,dsDNA
Terapinvirus suzy,,dsDNA
Metamorphoovirus robsfeet,,dsDNA
Metamorphoovirus metamorphoo,,dsDNA
Mementomorivirus mementomori,,dsDNA
Krampusvirus krampus,,dsDNA
Tlsvirus LL5,Drexlerviridae,dsDNA
Berlinvirus S523,Autographiviridae,dsDNA
Heilongjiangvirus Lb,,dsDNA
Stompelvirus RPSC1,Autographiviridae,dsDNA
Pijolavirus PspYZU08,Autographiviridae,dsDNA
Przondovirus SHKp152234,Autographiviridae,dsDNA
Tequintavirus gostya9,Demerecviridae,dsDNA
Faunusvirus faunus,Chaseviridae,dsDNA
Rogerhendrixvirus hendrix,,dsDNA
Quhwahvirus paschalis,,dsDNA
Squashvirus squash,,dsDNA
Jacevirus jace,,dsDNA
Squashvirus hyperion,,dsDNA
Appavirus appa,,dsDNA
Przondovirus KP32,Autographiviridae,dsDNA
Przondovirus KP32,Autographiviridae,dsDNA
Przondovirus KP32,Autographiviridae,dsDNA
Przondovirus KP32,Autographiviridae,dsDNA
Phikmvvirus 15pyo,Autographiviridae,dsDNA
Aerosvirus av25AhydR2PP,Autographiviridae,dsDNA
Pifdecavirus pv22PfluR64PP,Autographiviridae,dsDNA
Ningirsuvirus ninurta,Autographiviridae,dsDNA
Jarilovirus jarilo,Autographiviridae,dsDNA
Carpasinavirus carpasina,,dsDNA
Aarhusvirus dagda,Autographiviridae,dsDNA
Badaguanvirus IME347,Drexlerviridae,dsDNA
Tunavirus IME18,Drexlerviridae,dsDNA
Kelquatrovirus KL4,,dsDNA
Uliginvirus alpheus,Autographiviridae,dsDNA
Uliginvirus achelous,Autographiviridae,dsDNA
Uliginvirus nerthus,Autographiviridae,dsDNA
Uliginvirus njord,Autographiviridae,dsDNA
Phikmvvirus pv130113,Autographiviridae,dsDNA
Phikmvvirus PAXYB1,Autographiviridae,dsDNA
Pienvirus R801,Autographiviridae,dsDNA
Shenzhenvirus AhSzw1,Demerecviridae,dsDNA
Shenzhenvirus AhSzq1,Demerecviridae,dsDNA
Baoshanvirus BS2,Herelleviridae,dsDNA
Tlsvirus PHB07,Drexlerviridae,dsDNA
Gyeongsanvirus RsoP1EGY,Autographiviridae,dsDNA
Baoshanvirus BS1,Herelleviridae,dsDNA
Drulisvirus myPSH1235,Autographiviridae,dsDNA
Betapleolipovirus HHPV4,Pleolipoviridae,dsDNA
Teseptimavirus ebrios,Autographiviridae,dsDNA
Panjvirus Spp16,Autographiviridae,dsDNA
Teseptimavirus YpsPG,Autographiviridae,dsDNA
Teseptimavirus YpPY,Autographiviridae,dsDNA
Warwickvirus SECphi27,Drexlerviridae,dsDNA
Helsettvirus fPS54ocr,Autographiviridae,dsDNA
Helsettvirus fPS53,Autographiviridae,dsDNA
Helsettvirus fPS59,Autographiviridae,dsDNA
Helsettvirus fPS9,Autographiviridae,dsDNA
Kirikabuvirus NV3,Autographiviridae,dsDNA
Taipeivirus KpS110,Ackermannviridae,dsDNA
Maenadvirus maenad,,dsDNA
Higashivirus RsoP1IDN,Autographiviridae,dsDNA
Drulisvirus SFN6B,Autographiviridae,dsDNA
Betapleolipovirus HHPV3,Pleolipoviridae,dsDNA
Kayfunavirus YZ1,Autographiviridae,dsDNA
Harbinvirus semele,Herelleviridae,dsDNA
Lenusvirus nyseid,,dsDNA
Harbinvirus bacchae,Herelleviridae,dsDNA
Teseptimavirus HZ2R8,Autographiviridae,dsDNA
Ghunavirus henninger,Autographiviridae,dsDNA
Montyvirus stevefrench,,dsDNA
Montyvirus flakey,,dsDNA
Vectrevirus CrRp3,Autographiviridae,dsDNA
Rosenblumvirus AGO13,Rountreeviridae,dsDNA
Maenadvirus satyr,,dsDNA
Eracentumvirus S2,Autographiviridae,dsDNA
Oengusvirus oengus,,dsDNA
Toutatisvirus toutatis,,dsDNA
Taranisvirus taranis,,dsDNA
Mushuvirus mushu,,dsDNA
Lughvirus lugh,,dsDNA
Lagaffevirus lagaffe,,dsDNA
Eponavirus epona,,dsDNA
Brigitvirus brigit,,dsDNA
Przondovirus SHKp152410,Autographiviridae,dsDNA
Webervirus KpCol1,Drexlerviridae,dsDNA
Rowavirus rowa,,dsDNA
Attoomivirus attoomi,,dsDNA
Abbeymikolonvirus abbeymikolon,,dsDNA
Trungvirus VEN,Autographiviridae,dsDNA
Maxrubnervirus PMBT3,,dsDNA
Taipeivirus menlow,Ackermannviridae,dsDNA
Taipeivirus may,Ackermannviridae,dsDNA
Vectrevirus VEc3,Autographiviridae,dsDNA
Tlsvirus YSP2,Drexlerviridae,dsDNA
Lenusvirus lenus,,dsDNA
Friunavirus SWHAb1,Autographiviridae,dsDNA
Teseptimavirus EG1,Autographiviridae,dsDNA
Uliginvirus uligo,Autographiviridae,dsDNA
Loudonvirus DTL,Drexlerviridae,dsDNA
Montyvirus birksandsocks,,dsDNA
Getalongvirus bentherdunthat,,dsDNA
Ermolevavirus PGT2,Autographiviridae,dsDNA
Vectrevirus mutPK1A2,Autographiviridae,dsDNA
Gyeongsanvirus DURPI,Autographiviridae,dsDNA
Hongcheonvirus DUPPV,Demerecviridae,dsDNA
Unyawovirus DUPPII,Autographiviridae,dsDNA
Tequintavirus chee24,Demerecviridae,dsDNA
Epseptimavirus saus132,Demerecviridae,dsDNA
Friunavirus SWHAb3,Autographiviridae,dsDNA
Jesfedecavirus JSF12,Demerecviridae,dsDNA
Tequintavirus SSP1,Demerecviridae,dsDNA
Sasquatchvirus Y3,,dsDNA
Bordetella virus MW2,Mesyanzhinovviridae,dsDNA
Bordetella virus FP1,Mesyanzhinovviridae,dsDNA
Bordetella virus CN2,Mesyanzhinovviridae,dsDNA
Bordetella virus CN1,Mesyanzhinovviridae,dsDNA
Salmonella phage UPF_BP1,,dsDNA
Pseudomonas virus Pf1 ERZ-2017,Autographiviridae,dsDNA
Pifdecavirus UNOSLW1,Autographiviridae,dsDNA
Pecentumvirus LMSP25,Herelleviridae,dsDNA
Pecentumvirus LMSP25,Herelleviridae,dsDNA
Cuernavacavirus RHEph09,Autographiviridae,dsDNA
Cuernavacavirus RHEph08,Autographiviridae,dsDNA
Cuernavacavirus RHEph02,Autographiviridae,dsDNA
Teetrevirus T7M,Autographiviridae,dsDNA
Ahphunavirus Ahp1,Autographiviridae,dsDNA
Ahphunavirus CF7,Autographiviridae,dsDNA
Teetrevirus T3Luria,Autographiviridae,dsDNA
Tunavirus ISF001,Drexlerviridae,dsDNA
Sortsnevirus IME279,,dsDNA
Phabquatrovirus PHB04,,dsDNA
Lullwatervirus lullwater,Autographiviridae,dsDNA
Tequintavirus SP01,Demerecviridae,dsDNA
Acadevirus PM116,Autographiviridae,dsDNA
Drulisvirus KpS2,Autographiviridae,dsDNA
Teetrevirus KPN3,Autographiviridae,dsDNA
