Organism_Name,Family,Genome.composition
Aspergillus fumigatus tetramycovirus 1,Polymycoviridae,RNA
Bujaru virus,Phenuiviridae,ssRNA(+/-)
Reptilian orthoreovirus,Spinareoviridae,dsRNA
Drosophila melanogaster birnavirus SW-2009a,Birnaviridae,dsRNA
Rotifer birnavirus strain Palavas,Birnaviridae,dsRNA
Alxa virus,Arenaviridae,ssRNA(+/-)
Citrus virus A,Phenuiviridae,ssRNA(+/-)
Lijiang virus,Arenaviridae,ssRNA(+/-)
Pacific coast tick phlebovirus,Phenuiviridae,ssRNA(+/-)
Picobirnavirus Equ3,Picobirnaviridae,dsRNA
Dabieshan tick virus,Phenuiviridae,RNA
Blacklegged tick phlebovirus 1,Phenuiviridae,RNA
American dog tick virus,Phenuiviridae,RNA
Hippeastrum chlorotic spot virus,Tospoviridae,ssRNA(+/-)
Mosquito X virus,Birnaviridae,dsRNA
Tico phlebovirus,Phenuiviridae,ssRNA(+/-)
Pena Blanca virus,Phenuiviridae,ssRNA(+/-)
Sandfly fever Naples virus,Phenuiviridae,ssRNA(+/-)
Campana virus,Phenuiviridae,ssRNA(+/-)
Cocle virus,Phenuiviridae,ssRNA(+/-)
Kismaayo virus,Phenuiviridae,ssRNA(+/-)
Hunter Island virus,Phenuiviridae,ssRNA(+/-)
Heartland virus,Phenuiviridae,ssRNA(+/-)
Saint-Floris virus,Phenuiviridae,ssRNA(+/-)
Uriurana virus,Phenuiviridae,ssRNA(+/-)
Rio Claro virus,Phenuiviridae,ssRNA(+/-)
Leticia virus,Phenuiviridae,ssRNA(+/-)
Nile warbler virus,Phenuiviridae,RNA
Salobo virus,Phenuiviridae,ssRNA(+/-)
Arumowot virus,Phenuiviridae,ssRNA(+/-)
Aspergillus spelaeus tetramycovirus 1,Polymycoviridae,RNA
blackberry leaf mottle-associated virus,Fimoviridae,ssRNA(-)
Colletotrichum camelliae filamentous virus 1,Polymycoviridae,RNA
Pistacia emaravirus,Fimoviridae,ssRNA(-)
Tai Forest reovirus,Spinareoviridae,dsRNA
Chilibre virus,Peribunyaviridae,ssRNA(-)
Mammalian orthoreovirus 3 Dearing,Spinareoviridae,dsRNA
Manzanilla virus,Peribunyaviridae,ssRNA(-)
Main Drain virus,Peribunyaviridae,ssRNA(-)
Orthobunyavirus thimiriense,Peribunyaviridae,ssRNA(-)
Calla lily chlorotic spot virus,Tospoviridae,ssRNA(+/-)
Botryosphaeria dothidea chrysovirus 1,Chrysoviridae,dsRNA
La Crosse virus,Peribunyaviridae,ssRNA(-)
Mammarenavirus choriomeningitidis,Arenaviridae,ssRNA(+/-)
West African Asystasia virus 1,Geminiviridae,ssDNA(+/-)
Peach leaf pitting-associated virus,Secoviridae,ssRNA(+)
Lishi spider virus 1,Chuviridae,ssRNA(-)
Wenzhou crab virus 2,Chuviridae,ssRNA(-)
Avian orthoreovirus,Spinareoviridae,dsRNA
Maize rough dwarf virus,Spinareoviridae,dsRNA
Cotton yellow mosaic virus,Geminiviridae,ssDNA(+/-)
Sida micrantha mosaic virus,Geminiviridae,ssDNA(+/-)
Cannabis cryptic virus,Partitiviridae,dsRNA
Tomato mottle leaf curl virus,Geminiviridae,ssDNA(+/-)
Gentian mosaic virus,Secoviridae,ssRNA(+)
Orthohantavirus sinnombreense,Hantaviridae,ssRNA(-)
Orthohantavirus puumalaense,Hantaviridae,ssRNA(-)
Clo Mor virus,Nairoviridae,ssRNA(-)
Pacific coast tick nairovirus,Nairoviridae,ssRNA(-)
Genomoviridae sp.,Genomoviridae,ssDNA
Prymnesium kappa virus,Schizomimiviridae,dsDNA
Ovine picornavirus,Picornaviridae,ssRNA(+)
giant squirrel virus,Paramyxoviridae,ssRNA(-)
Daphnia iridovirus 1,Iridoviridae,dsDNA
Methanophagales virus GBV303,,dsDNA
Yangshan Harbor Poseidoniales virus,,dsDNA
Yangshan Harbor Nitrososphaeria virus,,dsDNA
Yangshan Harbor Nitrososphaeria virus,,dsDNA
Yangshan Harbor Nitrososphaeria virus,,dsDNA
Yangshan Harbor Nitrososphaeria virus,,dsDNA
Calfel virus LSF45_cir359,Circoviridae,ssDNA(+/-)
Calfel virus LSF31_cyc880,Circoviridae,ssDNA(+/-)
Calfel virus LSF31_cyc420,Circoviridae,ssDNA(+/-)
Calfel virus LSF17_cyc102,Circoviridae,ssDNA(+/-)
Army ant associated cyclovirus 9,Circoviridae,ssDNA(+/-)
Army ant associated cyclovirus 8,Circoviridae,ssDNA(+/-)
Army ant associated cyclovirus 9,Circoviridae,ssDNA(+/-)
Army ant associated cyclovirus 5,Circoviridae,ssDNA(+/-)
Army ant associated cyclovirus 4,Circoviridae,ssDNA(+/-)
Army ant associated cyclovirus 1,Circoviridae,ssDNA(+/-)
Army ant associated cyclovirus 2,Circoviridae,ssDNA(+/-)
Army ant associated cyclovirus 6,Circoviridae,ssDNA(+/-)
Army ant associated cyclovirus 3,Circoviridae,ssDNA(+/-)
Dipodfec virus UA23Rod_1805,Circoviridae,ssDNA(+/-)
Dipodfec virus UA04Rod_4537,,ssDNA
Dipodfec virus UA04Rod_5913,,ssDNA
Artemisia capillaris nucleorhabovirus 1,Rhabdoviridae,ssRNA(-)
Mundri virus,Rhabdoviridae,ssRNA(-)
Chifec virus UA15_2320,Circoviridae,ssDNA(+/-)
Chifec virus UA13_1800,Circoviridae,ssDNA(+/-)
Chifec virus UA13_1887,Circoviridae,ssDNA(+/-)
